anonymize_picture,otherprop
anonymize_text,otherprop
basket,otherprop
bed,bed
bench,table
bin,otherprop
blanket,bed
blinds,window
book,otherprop
bottle,otherprop
bowl,otherprop
box,otherprop
cabinet,cabinet
camera,otherprop
candle,otherprop
ceiling,ceiling
chair,chair
clock,otherprop
comforter,bed
cushion,otherprop
desk-organizer,otherprop
door,door
floor,floor
indoor-plant,otherprop
lamp,lamp
nightstand,cabinet
non-plane,otherprop
other-leaf,otherprop
panel,otherprop
picture,otherprop
pillar,wall
pillow,bed
pipe,otherprop
plant-stand,otherprop
plate,otherprop
pot,otherprop
rug,floor
sculpture,otherprop
shelf,shelves
sofa,sofa
stool,chair
switch,wall
table,table
tablet,otherprop
tissue-paper,otherprop
tv-screen,television
tv-stand,cabinet
undefined,otherprop
vase,otherprop
vent,ceiling
wall,wall
wall-plug,wall
window,window
